CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
15	71	-44.026	0.000	0.8920	0.000	0.000
15	33	-22.013	0.000	0.8346	0.000	0.000
15	116	-66.040	0.000	0.8245	0.000	0.000
15	509	-154.246	0.000	0.7640	0.000	0.000
15	131	-74.870	0.000	0.7242	0.000	0.000
33	116	-44.027	0.000	0.9332	0.000	0.000
33	71	-22.013	0.000	0.9173	0.000	0.000
33	2068	-294.318	0.000	0.8356	0.000	0.000
33	131	-52.857	0.000	0.8245	0.000	0.000
33	509	-132.233	0.000	0.7934	0.000	0.000
33	318	-97.686	0.000	0.7855	0.000	0.000
33	238	-82.861	0.000	0.7696	0.000	0.000
33	1556	-250.016	0.000	0.7674	0.000	0.000
33	544	-139.377	0.000	0.7614	0.000	0.000
33	927	-185.345	0.000	0.7583	0.000	0.000
33	1107	-206.495	0.000	0.7571	0.000	0.000
33	460	-126.949	0.000	0.7395	0.000	0.000
33	636	-149.347	0.000	0.7204	0.000	0.000
33	1255	-220.704	0.000	0.7132	0.000	0.000
33	151	-60.837	0.000	0.7096	0.000	0.000
33	416	-118.113	0.000	0.7071	0.000	0.000
33	1198	-215.478	0.000	0.7061	0.000	0.000
33	691	-154.093	0.000	0.7040	0.000	0.000
71	116	-22.014	0.000	0.8954	0.000	0.000
71	691	-132.080	0.000	0.8025	0.000	0.000
71	509	-110.220	0.000	0.7972	0.000	0.000
71	318	-75.673	0.000	0.7921	0.000	0.000
71	2068	-272.305	0.000	0.7910	0.000	0.000
71	131	-30.844	0.000	0.7900	0.000	0.000
71	151	-38.824	0.000	0.7563	0.000	0.000
71	238	-60.848	0.000	0.7550	0.000	0.000
71	544	-117.364	0.000	0.7541	0.000	0.000
71	927	-163.332	0.000	0.7533	0.000	0.000
71	1107	-184.482	0.000	0.7506	0.000	0.000
71	1556	-228.003	0.000	0.7445	0.000	0.000
71	460	-104.936	0.000	0.7278	0.000	0.000
71	1255	-198.691	0.000	0.7228	0.000	0.000
71	1198	-193.465	0.000	0.7159	0.000	0.000
71	416	-96.100	0.000	0.7145	0.000	0.000
71	636	-127.334	0.000	0.7101	0.000	0.000
96	1107	-167.662	0.000	0.8148	0.000	0.000
96	2068	-255.485	0.000	0.8081	0.000	0.000
96	1556	-211.183	0.000	0.8042	0.000	0.000
96	636	-110.514	0.000	0.7902	0.000	0.000
96	1003	-154.141	0.000	0.7890	0.000	0.000
96	816	-132.042	0.000	0.7679	0.000	0.000
96	151	-22.004	0.000	0.7538	0.000	0.000
96	544	-100.544	0.000	0.7521	0.000	0.000
96	131	-14.024	0.000	0.7469	0.000	0.000
96	1198	-176.645	0.000	0.7443	0.000	0.000
96	1346	-191.037	0.000	0.7275	0.000	0.000
96	238	-44.028	0.000	0.7137	0.000	0.000
116	131	-8.830	0.000	0.8596	0.000	0.000
116	318	-53.659	0.000	0.8240	0.000	0.000
116	927	-141.318	0.000	0.8014	0.000	0.000
116	2068	-250.291	0.000	0.7915	0.000	0.000
116	1255	-176.677	0.000	0.7635	0.000	0.000
116	544	-95.350	0.000	0.7546	0.000	0.000
116	509	-88.206	0.000	0.7441	0.000	0.000
